dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1609459200,3,700.95,0.44,35.99,17.35,32.9,20.33,26.64,8.99
1609462800,3,847.82,2.46,38.04,18.06,36.24,23.32,30.54,9.37
1609466400,3,894.55,5.25,38.39,23.25,41.01,24.16,31.93,9.25
1609470000,3,827.79,6.2,36.33,33.98,43.39,23.2,30.91,8.61
1609473600,2,660.9,3.69,29.13,54.36,35.76,19.5,25.6,6.21
1609477200,3,614.17,2.77,27.76,67.95,34.81,20.08,25.64,5.32
1609480800,3,600.82,2.38,26.05,80.82,34.33,21.1,26.28,5.0
1609484400,3,554.09,1.9,22.28,91.55,28.85,20.34,25.04,4.43
1609488000,2,514.03,1.17,20.74,85.83,24.32,17.08,21.14,3.96
1609491600,2,500.68,0.66,19.19,75.1,20.98,14.04,17.46,3.61
1609495200,2,520.71,0.14,19.88,64.37,20.27,12.91,15.99,3.61
1609498800,2,560.76,0.01,21.25,55.79,20.98,13.44,16.67,4.12
1609502400,2,554.09,0.0,20.74,50.78,20.74,14.14,17.73,4.62
1609506000,2,560.76,0.0,21.25,46.49,21.7,15.2,19.45,5.26
1609509600,2,560.76,0.0,22.62,43.27,23.37,16.5,21.25,5.76
1609513200,2,567.44,0.0,23.65,40.41,24.56,17.81,22.77,6.14
1609516800,2,567.44,0.01,25.36,37.55,25.99,18.17,22.96,6.27
1609520400,2,520.71,0.01,25.02,36.48,25.27,16.35,20.5,5.7
1609524000,2,447.27,0.0,20.22,40.77,20.74,13.82,17.18,5.13
1609527600,2,407.22,0.0,18.17,43.63,17.88,11.86,14.89,5.19
1609531200,2,410.56,0.0,19.71,42.2,19.07,11.66,14.86,5.89
1609534800,2,417.23,0.0,21.25,41.13,20.5,12.26,15.68,6.4
1609538400,2,433.92,0.01,22.62,39.7,22.17,13.24,16.85,6.59
1609542000,2,447.27,0.01,23.65,37.91,22.65,14.17,18.05,6.59
1609545600,2,520.71,0.05,25.71,35.05,23.13,16.75,21.63,7.09
1609549200,3,654.22,0.82,29.82,31.11,27.18,20.26,25.51,7.16
1609552800,3,720.98,2.49,31.19,30.76,31.47,22.14,27.29,6.9
1609556400,3,694.28,3.69,29.82,36.48,32.9,22.5,27.49,6.59
1609560000,3,614.17,4.58,24.33,53.64,30.04,21.38,26.25,5.95
1609563600,3,587.46,4.41,23.65,77.25,31.47,23.12,28.1,5.83
1609567200,4,580.79,3.44,21.59,110.15,32.9,28.57,33.71,5.95
1609570800,4,520.71,2.01,16.45,131.61,26.46,29.56,33.88,5.07
1609574400,4,527.38,1.82,18.85,133.04,28.61,30.22,34.29,5.07
1609578000,4,587.46,1.61,24.33,133.04,34.81,32.71,37.24,5.64
1609581600,4,781.06,1.08,41.81,121.59,51.98,40.83,47.16,7.98
1609585200,5,1054.76,0.09,60.32,94.41,68.67,50.14,59.7,11.27
1609588800,5,1161.58,0.0,61.01,65.8,65.8,51.58,64.58,13.05
1609592400,4,1108.17,0.0,54.84,43.27,53.41,46.22,61.93,13.17
1609596000,4,961.3,0.01,48.67,28.61,47.21,37.33,51.75,12.29
1609599600,4,774.38,0.04,39.76,23.6,39.1,27.16,37.66,10.51
1609603200,2,620.84,0.03,32.56,25.39,32.42,19.32,26.26,8.74
1609606800,2,560.76,0.03,30.5,26.82,30.52,15.82,21.08,7.66
1609610400,2,527.38,0.03,30.16,27.18,30.28,14.89,19.46,7.41
1609614000,2,500.68,0.03,29.47,26.11,29.09,14.76,19.1,7.54
1609617600,2,494.0,0.07,30.16,22.89,27.66,15.28,19.7,8.04
1609621200,2,494.0,0.13,30.5,19.31,26.46,15.9,20.43,8.61
1609624800,2,500.68,0.28,31.87,15.56,26.94,16.79,21.52,9.12
1609628400,2,534.06,0.89,34.62,9.21,30.04,18.93,24.23,9.75
1609632000,3,660.9,4.3,37.01,2.62,35.29,24.22,31.27,11.4
1609635600,4,921.25,16.32,36.67,2.77,49.11,33.04,42.42,13.43
1609639200,4,1161.58,29.95,39.07,6.62,68.67,42.44,54.08,15.33
1609642800,5,1348.5,40.23,49.35,12.52,92.51,54.06,67.89,17.23
1609646400,5,1161.58,25.26,58.95,34.69,86.78,54.91,66.94,13.17
1609650000,5,1121.52,15.65,67.86,72.96,90.6,66.96,78.36,11.53
1609653600,5,1174.93,10.28,71.97,127.32,99.18,92.56,104.59,10.64
1609657200,5,1068.12,4.64,57.58,170.23,84.88,97.34,108.36,9.37
1609660800,5,1054.76,1.84,51.41,185.97,76.29,99.22,110.2,8.87
1609664400,5,1081.47,0.53,48.67,185.97,70.57,97.4,109.81,9.12
1609668000,5,1228.33,0.2,61.01,153.07,74.39,97.7,112.83,12.29
1609671600,5,1348.5,0.02,67.17,95.84,72.48,86.56,103.26,15.07
1609675200,5,1228.33,0.0,55.52,53.64,55.79,62.15,79.72,14.95
1609678800,4,1108.17,0.01,46.61,34.33,44.82,47.76,67.72,13.93
1609682400,5,1174.93,0.28,56.21,17.17,53.41,50.7,72.96,14.69
1609686000,5,1455.31,4.64,77.46,1.81,72.48,66.08,91.86,17.48
1609689600,5,1695.63,9.72,87.74,0.13,73.43,83.22,111.65,17.99
1609693200,5,1522.06,8.27,76.08,0.26,54.36,76.49,99.8,14.19
1609696800,5,1134.87,7.15,52.09,0.46,39.58,52.94,68.06,11.15
1609700400,4,814.44,6.71,36.67,0.57,32.42,33.9,44.06,10.13
1609704000,4,687.6,7.6,30.85,0.43,30.04,26.31,34.88,11.15
1609707600,3,667.57,9.61,28.79,0.24,31.47,24.63,32.94,12.79
1609711200,4,700.95,12.07,29.13,0.13,34.81,25.71,34.39,13.93
1609714800,4,747.68,15.42,29.82,0.06,39.1,27.12,36.19,14.31
1609718400,4,921.25,20.56,29.82,0.59,45.3,31.82,42.7,15.71
1609722000,4,1134.87,29.06,30.5,7.24,56.74,35.54,47.18,15.33
1609725600,4,1281.74,34.87,37.01,16.63,70.57,40.24,52.91,15.96
1609729200,4,1321.79,33.98,51.41,32.54,86.78,47.9,62.07,16.72
1609732800,4,781.06,9.28,38.73,70.81,50.55,30.45,38.42,8.36
1609736400,4,660.9,5.2,33.59,84.4,46.25,26.86,32.88,6.78
1609740000,4,667.57,3.05,33.24,92.98,49.11,28.5,33.91,6.46
1609743600,3,620.84,0.78,33.24,86.55,45.78,25.0,30.19,5.89
1609747200,3,627.52,0.46,36.33,77.96,48.16,23.58,29.48,6.21
1609750800,3,620.84,0.2,36.33,66.52,46.25,20.38,26.93,6.14
1609754400,2,734.33,0.08,42.16,45.78,47.68,19.87,28.45,7.16
1609758000,3,921.25,0.05,52.09,26.11,54.84,24.38,35.09,8.99
1609761600,4,1054.76,0.4,58.95,14.13,61.99,30.74,43.15,11.02
1609765200,4,1228.33,3.35,65.12,4.02,71.53,40.25,54.45,13.05
1609768800,5,1401.9,13.08,67.17,0.14,82.02,51.75,67.8,14.82
1609772400,5,1562.12,23.25,68.55,0.01,89.65,62.86,80.99,15.58
1609776000,5,1668.93,30.85,69.92,0.0,93.46,71.31,90.36,15.07
1609779600,5,1615.52,35.32,69.23,0.0,94.41,71.78,88.23,12.54
1609783200,5,1361.85,30.85,63.06,0.0,82.97,61.65,73.58,9.12
1609786800,4,1001.36,19.45,50.04,0.02,57.22,45.73,54.48,6.97
1609790400,4,794.41,16.09,40.44,0.04,45.78,36.08,43.88,6.97
1609794000,4,700.95,14.53,35.99,0.07,42.44,30.78,38.15,7.28
1609797600,4,680.92,13.86,34.96,0.1,41.96,28.19,34.38,6.71
1609801200,4,707.63,16.76,33.93,0.05,46.25,26.83,32.49,6.46
1609804800,4,921.25,25.26,34.62,0.08,56.27,32.23,39.55,7.92
1609808400,4,1321.79,39.34,38.04,1.86,72.48,42.81,53.69,10.77
1609812000,5,1615.52,54.09,41.81,6.08,92.51,52.91,68.12,14.57
1609815600,5,1789.09,59.01,56.21,15.2,116.35,64.1,83.86,17.99
1609819200,4,1054.76,17.21,50.04,60.08,73.43,40.75,51.89,9.75
1609822800,4,734.33,5.48,33.59,101.57,52.45,30.51,37.82,6.4
1609826400,3,560.76,2.54,21.42,111.58,37.19,21.51,26.54,4.62
1609830000,2,500.68,2.26,18.51,100.14,30.52,15.34,18.87,3.99
1609833600,2,520.71,2.6,21.94,92.98,33.85,14.76,18.07,4.31
1609837200,2,554.09,2.52,25.71,83.69,36.24,14.45,18.05,4.69
1609840800,2,747.68,2.57,41.13,62.94,47.68,18.2,23.5,6.9
1609844400,4,1054.76,0.63,65.12,30.04,64.85,26.09,34.52,10.26
1609848000,4,1268.39,1.34,77.46,9.03,75.34,35.14,47.03,13.3
1609851600,5,1682.28,10.28,80.2,0.59,80.11,52.47,70.98,18.24
1609855200,5,2056.12,21.46,75.4,0.01,77.25,70.58,95.64,21.28
1609858800,5,2189.64,26.15,69.23,0.0,70.57,80.07,107.87,20.77
1609862400,5,2056.12,26.82,62.38,0.0,61.99,77.76,104.58,18.49
1609866000,5,1762.39,25.03,56.21,0.01,55.31,65.27,89.28,16.09
1609869600,5,1361.85,21.01,48.67,0.01,50.07,50.25,71.03,14.31
1609873200,4,1188.28,20.12,42.16,0.01,43.87,46.17,65.6,15.07
1609876800,5,1255.04,24.36,37.7,0.0,40.53,52.96,73.59,16.97
1609880400,5,1335.14,29.5,34.96,0.0,41.96,60.06,81.65,17.73
1609884000,5,1401.9,35.32,33.24,0.0,44.82,66.21,88.53,18.49
1609887600,5,1468.66,40.23,31.87,0.0,48.64,69.1,91.22,17.99
1609891200,5,1815.8,50.96,32.56,0.14,59.13,79.3,103.3,19.0
1609894800,5,1869.2,62.59,37.36,2.73,84.88,75.26,96.98,18.24
1609898400,5,2323.15,81.36,51.41,7.51,117.3,92.24,116.93,22.29
1609902000,5,2616.88,87.62,91.85,18.6,165.94,124.4,153.69,26.35
1609905600,5,1388.55,24.14,78.14,65.09,100.14,78.31,95.61,12.41
1609909200,5,1068.12,9.72,64.43,95.84,81.06,66.18,79.7,9.12
1609912800,5,1041.41,5.98,63.06,101.57,82.97,62.02,74.92,8.87
1609916400,5,961.3,4.08,57.58,97.28,76.29,51.77,63.3,8.23
1609920000,4,894.55,3.38,53.47,94.41,71.53,45.69,56.3,7.92
1609923600,4,854.49,2.4,51.41,90.84,66.76,40.18,50.34,7.92
1609927200,4,1121.52,2.01,75.4,59.37,84.88,42.55,54.83,11.78
1609930800,5,1562.12,1.82,108.3,13.23,106.81,52.15,68.65,17.48
1609934400,5,1655.58,10.95,94.59,0.37,98.23,56.14,76.38,20.27
1609938000,5,1575.47,19.67,65.8,0.03,79.16,54.6,77.28,19.51
1609941600,5,1535.42,24.81,56.21,0.01,74.39,55.16,79.4,17.99
1609945200,5,1468.66,26.6,54.15,0.0,73.43,55.93,80.33,16.47
1609948800,5,1361.85,26.6,51.41,0.0,69.62,53.75,76.17,14.69
1609952400,5,1321.79,29.5,51.41,0.0,69.62,53.05,74.26,13.43
1609956000,5,1268.39,28.39,52.78,0.0,65.8,51.91,72.67,12.67
1609959600,5,1201.63,26.82,51.41,0.0,60.08,51.14,71.19,12.41
1609963200,5,1148.22,29.06,46.61,0.0,57.22,51.26,70.66,12.03
1609966800,5,1081.47,31.74,42.5,0.0,57.7,50.85,68.93,11.15
1609970400,4,1014.71,32.63,38.04,0.0,57.22,48.29,64.85,10.26
1609974000,4,974.66,33.53,34.62,0.0,57.7,45.52,60.71,10.51
1609977600,5,1161.58,39.34,33.93,0.28,62.94,50.76,67.04,13.05
1609981200,5,1361.85,44.7,34.27,5.1,72.48,52.94,69.0,14.44
1609984800,5,1562.12,50.96,43.53,13.41,91.55,59.28,77.08,17.23
1609988400,5,1789.09,50.07,72.66,31.11,123.98,77.65,99.76,20.77
1609992000,5,1068.12,16.76,54.15,79.39,81.06,50.98,63.43,11.15
1609995600,5,821.11,6.99,38.73,130.18,64.85,51.19,60.75,8.04
1609999200,5,707.63,3.07,27.08,180.24,54.84,57.8,67.21,6.59
1610002800,4,614.17,1.93,22.28,185.97,45.78,49.07,56.99,5.64
1610006400,4,594.14,1.73,25.02,165.94,43.87,38.24,45.5,5.76
1610010000,4,574.11,1.27,27.76,144.48,38.62,28.76,36.32,6.08
1610013600,4,821.11,1.31,48.67,101.57,50.07,30.09,41.31,9.63
1610017200,4,1094.82,0.22,59.63,54.36,57.22,35.95,52.84,12.92
1610020800,4,1148.22,0.07,55.52,26.11,52.45,39.51,60.82,14.44
1610024400,4,1148.22,0.85,52.78,11.62,50.07,41.79,65.36,14.95
1610028000,4,1228.33,7.1,57.58,1.52,63.9,47.79,72.95,16.21
1610031600,5,1468.66,24.36,65.8,0.0,90.6,62.49,90.48,19.76
1610035200,5,1869.2,33.08,78.83,0.0,84.88,84.04,118.92,22.8
1610038800,5,2189.64,36.66,80.2,0.0,65.8,98.28,137.82,21.03
1610042400,5,2376.56,39.34,79.51,0.0,53.88,107.86,149.69,18.24
1610046000,5,2349.85,36.66,72.66,0.0,42.92,108.57,149.35,16.21
1610049600,5,2162.93,32.63,62.38,0.0,36.24,99.77,135.59,15.07
1610053200,5,1895.9,30.85,50.04,0.0,33.85,84.6,113.59,14.69
1610056800,5,1495.36,28.61,39.76,0.0,35.76,63.92,85.4,14.57
1610060400,4,1161.58,27.27,32.9,0.0,39.1,47.47,63.66,15.58
1610064000,4,1174.93,31.74,29.82,0.24,47.68,44.34,59.45,18.49
1610067600,4,1308.44,42.92,30.85,4.74,68.67,44.84,59.87,17.99
1610071200,5,1615.52,57.22,42.16,11.62,98.23,57.0,75.04,19.76
1610074800,5,2029.42,62.59,79.51,27.54,143.05,88.12,111.18,23.31
1610078400,5,1375.2,19.89,77.46,79.39,107.77,74.83,91.21,14.06
1610082000,5,1161.58,9.39,63.75,138.76,94.41,81.26,96.03,11.27
1610085600,5,1068.12,4.75,47.3,208.86,84.88,96.45,110.85,9.37
1610089200,5,907.9,2.43,32.22,248.91,69.62,96.21,108.75,7.22
1610092800,5,807.76,1.73,28.45,246.05,60.08,84.15,95.69,6.71
1610096400,5,754.36,1.34,29.82,226.02,52.45,67.06,78.44,6.84
1610100000,5,867.84,0.96,45.93,177.38,57.22,53.81,66.45,8.87
1610103600,4,1081.47,0.1,63.06,104.43,65.8,45.22,60.34,11.53
1610107200,4,1148.22,0.0,64.43,51.5,62.94,39.92,56.97,12.92
1610110800,4,1174.93,0.08,63.75,25.03,58.65,38.7,56.44,13.68
1610114400,4,1081.47,0.5,61.01,12.52,59.13,35.47,50.79,13.3
1610118000,4,807.76,0.45,45.93,12.88,44.82,25.65,36.23,10.13
1610121600,2,660.9,0.53,35.99,12.52,35.29,19.86,28.17,8.49
1610125200,2,654.22,0.99,36.33,8.4,36.24,18.91,26.81,8.23
1610128800,2,587.46,0.42,32.22,12.16,30.99,17.23,23.97,7.28
1610132400,2,540.73,0.16,27.76,17.35,26.7,16.79,22.4,7.03
1610136000,2,547.41,0.13,27.08,18.77,25.51,17.7,22.92,7.66
1610139600,2,560.76,0.13,27.76,18.6,25.51,18.66,23.78,8.36
1610143200,2,587.46,0.19,29.13,17.17,25.99,19.48,24.76,8.99
1610146800,3,634.19,0.42,31.87,13.05,27.9,20.59,26.26,9.75
1610150400,4,801.09,2.71,35.3,6.44,30.99,25.25,32.71,12.03
1610154000,4,1121.52,15.2,32.22,12.7,39.1,33.26,43.33,14.82
1610157600,4,1482.01,25.26,40.44,24.68,57.22,45.93,58.66,17.73
1610161200,5,1735.69,27.05,61.69,49.35,83.92,67.64,82.98,19.76
1610164800,5,1094.82,10.62,49.35,82.97,68.67,53.32,62.91,10.13
1610168400,5,1001.36,7.26,44.55,118.73,67.71,62.12,70.82,8.87
1610172000,5,1041.41,4.81,42.5,168.8,73.43,87.61,97.24,8.87
1610175600,5,1014.71,2.1,36.67,203.13,67.71,104.12,114.35,8.74
1610179200,5,974.66,0.96,34.62,200.27,61.04,103.45,114.3,8.61
1610182800,5,921.25,0.46,34.62,178.81,55.79,90.29,101.39,8.11
1610186400,5,934.6,0.23,40.78,135.9,50.07,70.13,81.54,8.61
1610190000,5,1028.06,0.03,47.98,92.98,48.64,63.2,76.64,9.88
1610193600,5,1121.52,0.0,50.04,66.52,47.68,66.72,83.2,11.02
1610197200,5,1201.63,0.0,51.41,47.92,48.16,71.97,91.35,12.67
1610200800,5,1281.74,0.02,57.58,30.04,53.41,74.03,94.7,14.82
1610204400,5,1268.39,0.11,61.69,19.13,54.36,69.71,88.77,15.07
1610208000,5,1108.17,0.23,54.15,15.2,45.3,55.35,69.54,12.67
1610211600,4,961.3,0.28,43.18,13.77,37.67,41.36,51.15,10.39
1610215200,4,841.14,0.26,36.33,13.95,33.38,33.41,40.95,9.25
1610218800,4,754.36,0.28,32.56,13.59,30.04,29.05,35.44,8.99
1610222400,4,727.65,0.5,32.56,10.46,29.33,27.55,33.6,9.88
1610226000,4,720.98,1.08,34.27,6.53,30.28,26.98,32.98,10.77
1610229600,4,720.98,2.35,34.96,3.31,31.47,26.59,32.69,11.4
1610233200,4,727.65,4.53,33.93,1.43,33.38,25.75,31.84,11.4
1610236800,4,821.11,8.27,32.56,1.23,36.24,27.33,34.38,11.78
1610240400,4,974.66,14.08,33.24,4.78,44.35,29.74,37.66,11.91
1610244000,4,1121.52,21.68,37.01,9.92,57.22,34.5,43.78,13.05
1610247600,4,1174.93,24.81,45.24,17.35,69.62,40.32,50.68,13.43
1610251200,4,834.47,7.49,37.01,52.21,45.3,38.01,45.04,7.22
1610254800,4,747.68,3.63,31.53,82.25,38.62,43.39,49.63,5.76
1610258400,4,734.33,2.38,28.1,108.72,37.19,49.9,56.09,5.51
1610262000,5,667.57,1.76,20.05,137.33,29.33,52.61,58.03,4.75
1610265600,4,614.17,1.24,17.65,141.62,25.03,49.9,54.43,4.43
1610269200,4,600.82,1.2,18.85,134.47,24.56,46.3,50.39,4.56
1610272800,5,794.41,1.09,39.07,110.15,41.96,51.39,56.82,7.35
1610276400,5,1321.79,0.11,78.83,82.25,80.11,81.22,92.08,13.43
1610280000,5,1575.47,0.0,85.68,71.53,82.02,104.17,122.39,15.83
1610283600,5,1255.04,0.0,54.84,57.22,49.59,74.83,95.91,13.55
1610287200,5,1094.82,0.0,48.67,36.84,46.25,56.67,77.7,13.3
1610290800,5,1174.93,0.06,59.63,22.71,58.17,63.12,84.79,15.2
1610294400,5,1255.04,0.41,67.17,13.23,63.9,70.83,91.5,16.21
1610298000,5,1255.04,2.21,69.92,3.76,63.9,69.05,88.09,15.83
1610301600,5,1241.68,8.83,65.12,0.39,65.8,66.04,84.12,15.58
1610305200,5,1201.63,17.21,60.32,0.03,67.71,63.77,81.1,16.47
1610308800,5,1188.28,23.92,56.21,0.01,66.76,62.63,79.66,17.99
1610312400,5,1174.93,29.06,52.09,0.0,66.76,61.87,78.94,19.76
1610316000,5,1148.22,32.19,47.3,0.0,64.85,60.06,77.01,21.28
1610319600,5,1054.76,32.19,40.44,0.0,60.56,52.48,67.47,20.52
1610323200,4,1081.47,31.74,33.24,0.12,55.31,47.58,61.76,20.01
1610326800,4,1295.09,37.1,29.82,2.84,59.61,48.22,63.25,19.51
1610330400,5,1415.25,40.23,34.27,8.14,68.67,50.03,66.06,18.24
1610334000,4,1268.39,31.29,43.53,18.42,72.48,48.68,63.94,15.07
1610337600,4,787.74,10.28,35.64,59.37,48.16,43.85,53.56,8.04
1610341200,4,707.63,4.58,30.16,107.29,41.96,48.62,56.76,6.71
1610344800,5,714.3,2.71,27.08,145.91,41.96,55.48,63.04,6.4
1610348400,4,634.19,1.1,22.96,138.76,32.9,45.1,51.23,5.38
1610352000,4,554.09,0.75,21.08,105.86,25.03,27.53,32.06,4.69
1610355600,2,507.36,0.47,19.54,83.69,20.5,16.94,20.34,4.31
1610359200,2,520.71,0.22,21.08,69.38,20.74,12.31,15.48,4.37
1610362800,2,594.14,0.03,26.73,52.93,26.94,12.17,15.88,5.13
1610366400,2,614.17,0.0,29.13,42.92,29.56,13.64,18.5,5.89
1610370000,2,634.19,0.0,31.19,35.41,30.99,15.97,22.6,7.03
1610373600,2,587.46,0.01,28.1,32.54,29.33,15.04,21.35,7.09
1610377200,2,574.11,0.01,25.71,33.26,27.42,14.31,19.87,6.97
1610380800,2,580.79,0.02,26.39,32.19,27.66,14.17,19.26,6.78
1610384400,2,574.11,0.03,28.1,28.61,29.09,13.54,18.13,6.46
1610388000,2,554.09,0.06,28.79,25.39,29.8,13.58,17.82,6.4
1610391600,2,540.73,0.11,28.79,21.46,30.04,13.91,18.04,6.59
1610395200,2,554.09,0.26,29.82,16.63,30.52,14.55,18.75,7.16
1610398800,2,567.44,0.56,30.5,11.8,30.99,15.09,19.37,7.6
1610402400,2,574.11,1.02,30.85,8.58,31.47,15.15,19.44,7.85
1610406000,2,580.79,1.45,30.85,6.97,30.99,14.84,19.18,7.79
1610409600,2,660.9,2.54,30.85,6.8,30.99,16.65,22.05,8.61
1610413200,2,794.41,8.16,28.1,17.35,34.81,19.19,25.47,8.99
1610416800,3,834.47,11.18,27.42,32.9,38.62,20.88,27.52,8.74
1610420400,3,754.36,9.28,26.39,55.08,37.67,22.58,28.89,7.92
1610424000,3,547.41,4.19,16.62,83.69,24.8,20.06,24.14,4.69
1610427600,3,507.36,3.02,14.74,101.57,23.37,22.64,26.03,3.96
1610431200,4,507.36,2.4,13.88,120.16,23.6,27.18,30.35,3.83
1610434800,4,487.33,1.82,12.51,128.75,20.74,27.57,30.42,3.42
1610438400,3,480.65,1.72,13.71,120.16,20.27,24.62,27.27,3.36
1610442000,3,500.68,1.62,15.08,111.58,20.5,22.69,25.26,3.42
1610445600,3,580.79,1.23,21.42,95.84,25.75,22.47,25.5,4.18
1610449200,4,754.36,0.18,36.67,74.39,39.58,26.88,31.57,6.27
1610452800,4,934.6,0.0,49.35,61.51,51.98,37.22,45.52,8.99
1610456400,4,1054.76,0.0,54.15,50.78,54.36,47.21,60.31,11.27
1610460000,4,1014.71,0.01,54.15,34.69,56.27,45.66,58.82,12.29
1610463600,4,867.84,0.06,45.24,24.32,47.68,35.0,44.99,11.15
1610467200,4,787.74,0.31,40.44,16.45,38.15,28.53,36.83,10.64
1610470800,4,787.74,1.05,41.47,8.23,35.29,26.93,34.99,11.15
1610474400,4,761.03,2.43,40.1,3.71,34.33,26.8,34.51,12.03
1610478000,4,720.98,2.93,35.99,2.75,29.56,26.77,34.36,13.17
1610481600,4,707.63,3.63,33.24,2.06,27.18,27.69,35.37,14.69
1610485200,4,727.65,5.64,31.53,0.98,28.13,29.68,37.79,16.09
1610488800,4,754.36,9.05,29.82,0.35,30.99,31.46,40.1,16.97
1610492400,4,794.41,12.07,28.1,0.17,32.9,32.55,41.75,17.48
1610496000,4,974.66,16.76,27.08,0.33,36.72,37.82,49.0,19.0
1610499600,4,1295.09,29.95,27.76,4.25,51.02,46.21,60.19,20.77
1610503200,5,1508.71,38.89,35.3,11.44,68.67,54.1,70.08,21.79
1610506800,5,1401.9,31.74,47.3,28.61,77.25,59.23,74.19,20.52
1610510400,4,747.68,7.38,25.71,85.83,38.15,42.68,49.94,9.25
1610514000,4,634.19,3.13,19.02,120.16,29.56,48.71,54.65,6.78
1610517600,5,607.49,2.12,17.82,134.47,27.9,52.45,57.96,6.21
1610521200,4,560.76,1.55,15.08,127.32,21.7,46.9,51.73,5.51
1610524800,4,534.06,1.57,13.88,117.3,18.84,41.15,45.38,5.07
1610528400,4,520.71,1.45,13.88,110.15,17.41,36.8,40.66,4.81
1610532000,4,1001.36,2.29,33.59,77.25,26.46,45.39,52.66,10.51
1610535600,5,1575.47,0.56,56.89,33.98,32.9,58.86,71.18,17.48
1610539200,5,1869.2,0.75,63.75,12.16,34.81,71.65,88.14,23.31
1610542800,5,2162.93,4.19,67.86,3.22,42.44,90.5,111.88,29.39
1610546400,5,2456.67,12.96,67.17,0.14,49.59,111.34,137.59,35.97
1610550000,5,2696.99,20.12,62.38,0.01,49.59,130.51,162.35,41.04
1610553600,5,2563.48,19.0,56.21,0.03,40.53,132.67,167.13,36.99
1610557200,5,2136.23,11.74,52.09,0.28,30.99,114.52,144.6,26.35
1610560800,5,1602.17,3.69,47.98,3.09,25.51,88.8,112.44,15.2
1610564400,5,1068.12,0.24,38.39,17.35,26.46,62.65,80.56,9.12
1610568000,5,974.66,0.09,35.99,22.35,26.7,57.71,74.84,7.85
1610571600,5,1001.36,0.16,37.36,18.95,27.9,59.51,77.75,7.98
1610575200,5,1041.41,0.58,41.47,11.98,31.47,61.98,82.21,8.49
1610578800,5,1134.87,3.05,45.93,3.76,38.62,66.65,89.06,9.5
1610582400,5,1415.25,13.86,46.61,0.43,52.45,81.31,107.34,12.67
1610586000,5,1762.39,32.19,45.93,3.89,73.43,92.34,122.88,15.58
1610589600,5,1949.31,45.15,51.41,8.85,93.46,95.57,130.73,18.75
1610593200,5,1895.9,41.57,63.75,13.95,107.77,92.62,130.01,20.52
1610596800,5,1081.47,9.72,51.41,57.94,62.94,61.92,84.6,11.02
1610600400,5,894.55,4.36,44.55,85.12,55.79,58.08,75.59,8.87
1610604000,5,907.9,2.54,45.93,94.41,59.13,60.28,76.21,8.61
1610607600,5,854.49,3.35,39.07,110.15,52.93,58.16,72.51,8.11
1610611200,5,787.74,2.07,35.3,117.3,46.73,55.27,68.89,8.04
1610614800,5,767.71,1.02,33.93,115.87,42.92,53.76,66.82,7.98
1610618400,5,821.11,0.22,37.36,104.43,42.92,51.66,64.1,8.49
1610622000,4,821.11,0.02,36.67,86.55,39.58,42.72,54.92,8.61
1610625600,4,741.01,0.0,32.22,73.67,32.9,34.79,47.84,8.36
1610629200,4,787.74,0.0,34.96,60.08,34.81,35.5,51.58,9.88
1610632800,4,834.47,0.0,37.7,49.35,36.72,37.39,55.95,10.77
1610636400,4,854.49,0.0,39.07,42.92,37.67,39.69,60.48,10.64
1610640000,4,854.49,0.01,40.44,38.27,37.19,40.27,63.09,9.5
1610643600,4,794.41,0.01,40.44,35.41,36.72,37.43,60.95,7.66
1610647200,4,741.01,0.02,41.47,31.83,38.62,37.15,61.42,7.16
1610650800,4,907.9,0.24,46.61,19.13,37.67,47.22,74.06,8.74
1610654400,5,1228.33,2.74,51.41,4.56,37.19,65.89,97.16,11.53
1610658000,5,1522.06,11.74,49.35,0.23,40.53,84.02,119.59,14.82
1610661600,5,1789.09,24.81,46.61,0.0,46.25,100.72,140.26,17.99
1610665200,5,2056.12,41.13,47.3,0.0,54.84,117.51,160.03,17.48
1610668800,5,2616.88,62.59,54.84,0.08,73.43,145.49,192.55,18.75
1610672400,5,2216.34,86.73,75.4,2.41,146.87,134.07,176.16,16.72
1610676000,5,2590.18,114.44,87.74,8.23,190.74,153.0,197.29,21.28
1610679600,5,3044.13,126.96,120.64,18.24,236.51,188.76,237.76,27.11
1610683200,5,1762.39,31.74,105.56,80.11,135.42,136.62,166.04,12.92
1610686800,5,1415.25,10.51,78.14,163.08,104.9,142.38,165.17,8.87
1610690400,5,1428.6,5.36,65.12,254.63,107.77,186.01,208.03,7.41
1610694000,5,1308.44,2.32,45.24,306.13,91.55,191.14,210.85,7.03
1610697600,5,1174.93,1.1,35.99,306.13,76.29,173.22,192.43,7.73
1610701200,5,1054.76,0.61,33.24,277.52,63.9,141.39,161.36,8.49
1610704800,5,921.25,0.67,38.04,185.97,51.02,84.87,103.2,8.74
1610708400,4,867.84,0.09,42.16,87.26,41.49,40.07,55.17,8.87
1610712000,4,841.14,0.0,40.44,47.92,37.19,28.66,42.45,9.37
1610715600,4,854.49,0.0,39.41,40.77,36.72,32.22,47.76,10.26
1610719200,4,834.47,0.0,38.39,41.13,36.72,36.32,53.53,10.51
1610722800,4,834.47,0.01,38.39,39.7,37.19,38.67,56.99,10.01
1610726400,4,827.79,0.01,38.73,36.48,36.72,38.06,56.7,8.87
